阿党比周	a'dang'bi'zhou	相互勾结，相互偏袒，结党营私。
谛分审布	di'fen'shen'bu	仔细察看分布状况。
掂斤播两	dian'jin'bo'liang	估量轻重。亦以喻品评优劣或形容过分计较。
掂斤估两	dian'jin'gu'liang	又作：掂斤播两。
掂斤抹两	dian'jin'mo'liang	又作：掂斤播两。
掂梢折本	dian'shao'zhe'ben	垫钱亏本。梢，钱的市语。
颠簸不破	dian'bo'bu'po	同“颠扑不破”。
颠脣簸嘴	dian'chun'bo'zui	谓搬弄口舌。
颠倒黑白	dian'dao'hei'bai	语本《楚辞·九章·怀沙》：“变白以为黑兮，倒上以为下。”王逸注：“世以浊为清也；俗人以愚为贤也。”后世多作“颠倒黑白”，形容故意歪曲事实，混淆是非。
颠倒是非	dian'dao'shi'fei	把对的说成错的，把错的说成对的。
颠倒衣裳	dian'dao'yi'chang	①谓急促惶遽中不暇整衣。《诗·齐风·东方未明》：“东方未明，颠倒衣裳。颠之倒之，自公召之。”毛传：“上曰衣，下曰裳。”郑玄笺：“絜壶氏失漏刻之节，东方未明而以为明，故群臣促遽颠倒衣裳。”孔颖达疏：“传：上曰衣，下曰裳。此其相对定称，散则通名曰衣……传言此，解其颠倒之意，以裳为衣，今上者在下，是谓颠倒也。”本意是讽刺朝廷兴居无节，号令不时，使小官吏忙忙碌碌，后多以比喻伦常失秩。②谓匆忙情急之中举止失措。
颠斤播两	dian'jin'bo'liang	较量轻重。常用以比喻品评优劣或形容计较微细之事。
颠来播去	dian'lai'bo'qu	见“颠来簸去”。
颠来簸去	dian'lai'bo'qu	连续、反覆地颠簸。
颠来倒去	dian'lai'dao'qu	翻过来倒过去。来回重复。
颠鸾倒凤	dian'luan'dao'feng	①比喻颠倒失次。②比喻男女交欢。
颠毛种种	dian'mao'zhong'zhong	语本《左传·昭公三年》：“余发如此种种，余奚能为？”杜预注：“种种，短也。自言衰老，不能复为害。”后因以“颠毛种种”谓衰老。
颠沛流离	dian'pei'liu'li	动荡不安，四处流浪，困顿窘迫。
颠仆流离	dian'pu'liu'li	同“颠沛流离”。
颠扑不磨	dian'pu'bu'mo	见“颠扑不破”。
颠扑不破	dian'pu'bu'po	无论怎样摔打都不破。比喻言论、学说牢固可靠，不可推翻、驳倒。
颠乾倒坤	dian'qian'dao'kun	使天地颠倒。比喻本领十分高强。
颠三倒四	dian'san'dao'si	形容神智不清或说话、做事没有次序，错误百出。
颠衣到裳	dian'yi'dao'chang	同“颠倒衣裳”。到，通“倒”。
攧扑不破	dian'pu'bu'po	无论怎样摔打都不破。比喻道理正确，推翻不了。
典谟训诰	dian'mo'xun'gao	①《尚书》中《尧典》、《大禹谟》、《汤诰》、《伊训》等篇的并称。②泛指经典之文。
典妻鬻子	dian'qi'yu'zi	典卖妻子兒女。形容生活极其困苦。
典身卖命	dian'shen'mai'ming	典当身体，出卖性命。极言奉献出自己的一切。
典则俊雅	dian'ze'jun'ya	端庄高雅而标致。
点金成铁	dian'jin'cheng'tie	①禅门喻开示不对机，增人惑乱。《景德传灯录·真觉大师灵照》：“问：‘还丹一粒，点铁成金；至理一言，点凡成圣。请师一点。’师曰：‘还知齐云点金成铁吗？’曰：‘点金成铁，未之前闻。至理一言，敢希垂示！’”后用以比喻把好文章改坏。②比喻把好事办坏。
点金乏术	dian'jin'fa'shu	谓无点金成铁的法术。比喻没有办法筹措钱财。
点金无术	dian'jin'wu'shu	见“点金乏术”。
点金作铁	dian'jin'zuo'tie	见“点金成铁”。
点石成金	dian'shi'cheng'jin	同“点铁成金”。
点石为金	dian'shi'wei'jin	同“点铁成金”。
点手莋脚	dian'shou'zuo'jiao	形容说话时兼用手势示意。多形容说话放任不拘，或轻率地指点、批评。
点水不漏	dian'shui'bu'lou	形容十分周到、严密，毫无差失漏洞。
点铁成金	dian'tie'cheng'jin	①旧谓仙道点铁石而成黄金。②比喻修改文章，化腐朽为神奇。
点头哈腰	dian'tou'ha'yao	形容恭顺或过分客气。
点头会意	dian'tou'hui'yi	①形容机灵乖觉。②表示允可、赞许。
点头咂嘴	dian'tou'za'zui	表示同意、赞赏。
点头之交	dian'tou'zhi'jiao	谓交情甚浅，见了面只不过点点头而已。
点胸洗眼	dian'xiong'xi'yan	指一洗尘俗，使人豁然明朗。
点纸画字	dian'zhi'hua'zi	指在契约或供词上捺指模和签押。
点指画字	dian'zhi'hua'zi	指在合同文约或供词上按手印签字画押。
点指莋脚	dian'zhi'zuo'jiao	见“点手莋脚”。
电掣风驰	dian'che'feng'chi	形容像闪电刮风一样迅速。
电掣星驰	dian'che'xing'chi	如闪电和流星似的掠过。比喻迅疾。
电光石火	dian'guang'shi'huo	①佛教语。语本《五灯会元·雪峰存禅师法嗣·保福从展禅师》：“师曰：‘瞌睡汉出去！’上堂：‘此事如击石火，似闪电光，搆得搆不得，未免丧身失命。’”后以“电光石火”比喻稍纵即逝或稍纵即逝的事物。②喻极迅速地。
电流星散	dian'liu'xing'san	比喻迅速消散。
电闪雷鸣	dian'shan'lei'ming	闪电飞光，雷声轰鸣。①比喻快速有力。杜鹏程《在和平的日子里》第五章：“是英明的主意，这主意通过电话就电闪雷鸣一样传遍工地。”②比喻轰轰烈烈。郭小川《痛悼敬爱的周总理》诗：“我们的总理，回答得最为铿锵有力；不用语言，而用电闪雷鸣般的一生的经历。”
电照风行	dian'zhao'feng'xing	如电光之照耀，如风之流动。比喻影响甚大。
钿合金钗	dian'he'jin'chai	①钿盒和金钗。相传为唐玄宗与杨贵妃定情之信物。②泛指情人间之信物。
刁钻促搯	diao'zuan'cu'tao	见“刁钻促狭”。
刁钻促狭	diao'zuan'cu'xia	亦作“刁钻促搯”。狡猾而好捉弄人。
刁钻古怪	diao'zuan'gu'guai	①狡诈。②古怪，怪僻。③机灵，乖巧。
彫蟲小技	diao'chong'xiao'ji	指刻意雕琢词章的微小技能。
彫蟲小技	diao'chong'xiao'ji	指刻意雕琢词章的微小技能。
彫蟲篆刻	diao'chong'zhuan'ke	虫书、刻符分别为秦书八体之一，西汉时蒙童所习。因以“彫蟲篆刻”喻词章小技。
彫蟲篆刻	diao'chong'zhuan'ke	虫书、刻符分别为秦书八体之一，西汉时蒙童所习。因以“彫蟲篆刻”喻词章小技。
彫肝琢肾	diao'gan'zhuo'shen	形容苦心琢磨。
彫肝琢肾	diao'gan'zhuo'shen	形容苦心琢磨。
彫章镂句	diao'zhang'lou'ju	谓刻意雕琢词章。
彫章镂句	diao'zhang'lou'ju	谓刻意雕琢词章。
貂不足，狗尾续	diao'bu'zu'-'gou'wei'xu	续】	①谓授官太滥。②指美中不足或以次充好。
貂狗相属	diao'gou'xiang'shu	指真伪或优劣混杂在一起。
貂裘换酒	diao'qiu'huan'jiu	《西京杂记》卷二载，司马相如与卓文君还成都，以所著鹔霜裘向市人贳酒。又《晋书·阮孚传》谓阮孚尝以金貂换酒。后世即以“貂裘换酒”形容名士或富贵者的风流豪纵。
雕蟲薄技	diao'chong'bao'ji	又作：雕虫小技。
雕蟲刻篆	diao'chong'ke'zhuan	见“雕蟲篆刻”。
雕蟲末伎	diao'chong'mo'ji	见“雕蟲末技”。
雕蟲末技	diao'chong'mo'ji	亦作“雕蟲末伎”。又作：雕虫小技。
雕蟲小技	diao'chong'xiao'ji	比喻微末的技能。多指刻意雕琢词章的技能。
雕蟲小巧	diao'chong'xiao'qiao	又作：雕虫小技。
雕蟲小事	diao'chong'xiao'shi	又作：雕虫小技。
雕蟲小艺	diao'chong'xiao'yi	又作：雕虫小技。
雕蟲篆刻	diao'chong'zhuan'ke	汉扬雄《法言·吾子》：“或问：‘吾子少而好赋？’曰：‘然。童子雕蟲篆刻。’俄而曰；‘壮夫不为也。’”按，“蟲”指虫书，“刻”指刻符，各为一种字体。后以“雕蟲篆刻”喻词章小技。南朝梁沈约《答陆厥问声韵书》：“是以子云譬之雕蟲篆刻，云壮夫不为。”宋王安石《上仁宗皇帝言事书》：“然而不肖者，苟能雕蟲篆刻之学，以此进至乎公卿。”况周颐《蕙风词话》卷五：“適承元明词敝甚，欲推尊斯道，一洗雕蟲篆刻之讥。”亦作“雕蟲刻篆”。明高濂《玉簪记·下第》：“不须泪涟。有日眉扬额点，且自雕蟲刻篆，我这里侭清閒。”一说，“雕蟲”犹“蟲镂”（“彤镂”），“篆刻”犹“瑑刻”。参阅蒋礼鸿《义府续貂》。
雕风镂月	diao'feng'lou'yue	刻意吟风弄月。
雕肝镂肾	diao'gan'lou'shen	同“雕肝琢肾”。
雕肝掐肾	diao'gan'qia'shen	同“雕肝琢肾”。
雕肝琢膂	diao'gan'zhuo'lv	同“雕肝琢肾”。
雕肝琢肾	diao'gan'zhuo'shen	比喻写作时用尽心思，反覆推敲，刻意求工。语本唐韩愈《赠崔立之评事》诗：“劝君韬养待徵招，不用雕琢愁肝肾。”
雕虎焦原	diao'hu'jiao'yuan	《尸子》：“中黄伯曰：余左执太行之獶而右搏雕虎。”又：“莒国有石焦原者，广寻，长五十步，临百仞之谿，莒国莫敢近也。有以勇见莒子者，独却行剂踵焉。”后以“雕虎焦原”谓壮士履险。
雕梁画栋	diao'liang'hua'dong	雕花、彩绘的栋梁。亦借指有彩绘装饰的富丽堂皇的房屋。
雕龙画凤	diao'long'hua'feng	刻绘龙凤；刻绘的龙凤。
雕镂藻绘	diao'lou'zao'hui	比喻刻意修饰文辞。
雕盘绮食	diao'pan'qi'shi	精美的器皿及食物。
雕墙峻宇	diao'qiang'jun'yu	同“峻宇雕墙”。
雕文刻镂	diao'wen'ke'lou	谓在器物上刻镂花纹图案，以为文饰。
雕文织采	diao'wen'zhi'cai	比喻词藻华丽。
雕心刻肾	diao'xin'ke'shen	同“雕肝琢肾”。
雕心雁爪	diao'xin'yan'zhao	见“雕心雁爪”。
雕心雁爪	diao'xin'yan'zhao	比喻外表善良而内心狠毒。
雕心鹰爪	diao'xin'ying'zhao	喻凶残狠毒。
雕心鹰爪	diao'xin'ying'zhao	比喻心肠残忍，手段毒辣。
雕楹碧槛	diao'ying'bi'jian	雕镂彩绘的柱子和碧色栏杆。
雕章绘句	diao'zhang'hui'ju	见“雕章镂句”。
雕章镂句	diao'zhang'lou'ju	比喻刻意修饰文辞。
雕章缛彩	diao'zhang'ru'cai	比喻文彩绚烂。
雕章琢句	diao'zhang'zhuo'ju	见“雕章镂句”。
吊胆惊心	diao'dan'jing'xin	又作：吊胆提心。
吊民伐罪	diao'min'fa'zui	慰问受害的百姓，讨伐有罪的人。
吊死扶伤	diao'si'fu'shang	吊祭死者，扶救伤者。
吊死问疾	diao'si'wen'ji	吊祭死者，慰问病人。
吊形吊影	diao'xing'diao'ying	又作：形影相吊。喻孤独寂寞。
钓名沽誉	diao'ming'gu'yu	同“沽名钓誉”。
钓名欺世	diao'ming'qi'shi	作伪求取虚名，欺骗世人。
钓名要誉	diao'ming'yao'yu	见“钓名沽誉”。
钓誉沽名	diao'yu'gu'ming	见“钓名沽誉”。
调兵遣将	diao'bing'qian'jiang	调动兵马，派遣将领。引申为调动布置人力。
调脣弄舌	diao'chun'nong'she	见“调脣弄舌”。
调脣弄舌	diao'chun'nong'she	亦作“调脣弄舌”。①耍嘴皮子，纵谈。②搬弄是非。
调脣弄舌	diao'chun'nong'she	亦作“调脣弄舌”。①耍嘴皮子，纵谈。②搬弄是非。
调词架讼	diao'ci'jia'song	调唆他人诉讼。
调风变俗	diao'feng'bian'su	又作：移风易俗。
调风弄月	diao'feng'nong'yue	调弄风月。喻男女间的谈情说爱。
调和鼎鼐	diao'he'ding'nai	调和五味。喻指宰相治理天下。
调和阴阳	diao'he'yin'yang	谓使阴阳有序，风调雨顺。旧多指宰相处理政务。
调虎离山	diao'hu'li'shan	比喻为了便于乘机行事，设法引诱对方离开原来的地方。
调理阴阳	diao'li'yin'yang	又作：调和阴阳。
调良稳泛	diao'liang'wen'fan	马匹调良，行船稳泛。谓路途平安。
调墨弄笔	diao'mo'nong'bi	谓玩弄文字技巧。
调三惑四	diao'san'huo'si	见“调三斡四”。
调三窝四	diao'san'wo'si	见“调三斡四”。
调三斡四	diao'san'wo'si	挑拨是非。
调舌弄脣	diao'she'nong'chun	又作：调脣弄舌。
调神暢情	diao'shen'chang'qing	使精神顺适，情绪欢暢。
调丝品竹	diao'si'pin'zhu	吹弹乐器。
调停两用	diao'ting'liang'yong	谓居间观望，骑墙投机。
调脂弄粉	diao'zhi'nong'fen	①指妇女涂抹脂粉，整容打扮。②喻指诗文的富丽香艳。
调硃傅粉	diao'zhu'fu'fen	调弄、涂抹脂粉。喻刻意修饰。
调硃弄粉	diao'zhu'nong'fen	调弄脂粉，打扮妆饰。
调嘴调舌	diao'zui'diao'she	见“调嘴弄舌”。
调嘴弄舌	diao'zui'nong'she	耍嘴皮子，搬弄是非。
调嘴学舌	diao'zui'xue'she	又作：调嘴弄舌。
掉以轻心	diao'yi'qing'xin	轻率，不重视。语本唐柳完元《答韦中立论师道书》：“故吾每为文章，未尝敢以轻心掉之。”
跌弹斑鸠	die'dan'ban'jiu	谓中弹落地的斑鸠。喻指失意落寞或受挫神伤的人。
跌宕不覊	die'dang'bu'ji	见“跌宕不羁”。
跌宕不羁	die'dang'bu'ji	放逸不受拘束。
跌宕风流	die'dang'feng'liu	潇洒放逸而富有才华风情。
跌宕昭彰	die'dang'zhao'zhang	谓文章的气势纵放不拘，文意鲜明。
跌荡不羁	die'dang'bu'ji	同“跌宕不羁”。
跌荡不拘	die'dang'bu'ju	见“跌荡不羁”。
跌荡风流	die'dang'feng'liu	见“跌宕风流”。
跌脚绊手	die'jiao'ban'shou	谓受到阻碍或牵制。
跌脚捶胸	die'jiao'chui'xiong	见“跌脚搥胸”。
跌脚搥胸	die'jiao'chui'xiong	以足跺地，以拳敲胸。表示气愤、着急、悲痛等感情。
跌脚槌胸	die'jiao'chui'xiong	见“跌脚搥胸”。
喋喋不休	die'die'bu'xiu	唠唠叨叨，说个没完。
叠床架屋	die'chuang'jia'wu	①北齐颜之推《颜氏家训·序致》：“魏晋已来，所著诸子，理重事衤复，递相模斅，犹屋下架屋，床上施床耳。”宋陆九渊《与硃元晦书》之二：“某窃谓尊兄未曾实见太极，若实见太极，上面必不更加‘无极’字，下面必不更着‘真体’字。上面加‘无极’字，正是叠床上之床，下面着‘真体’字，正是架屋下之屋。”后以“叠床架屋”比喻重复累赘。②比喻反复强调。
叠见层出	die'jian'ceng'chu	屡次出现。
叠矩重规	die'ju'zhong'gui	形容上下相合。矩，曲尺，画直角或方形的工具。规，圆规，画圆形的工具。
蝶粉蜂黄	die'fen'feng'huang	唐人宫妆。宋周邦彦《满江红》词：“蝶粉蜂黄都褪了，枕痕一线红生肉。”一说蝶翅上的粉屑和蜂身上的黄粉，在交尾后退去。
蝶化庄生	die'hua'zhuang'sheng	比喻事物的虚幻无常。
蝶化庄周	die'hua'zhuang'zhou	见“蝶化庄生”。
蝶恋蜂狂	die'lian'feng'kuang	谓留恋繁花似锦的春光。
蝶使蜂媒	die'shi'feng'mei	比喻传递信息者或男女双方情爱的媒介。
蝶意莺情	die'yi'ying'qing	比喻爱恋春色的情意。
蝶怨蛩凄	die'yuan'qiong'qi	喻哀怨凄清的思家之情。
蹀躞不下	die'xie'bu'xia	谓心里忐忑不安，不能放心。
鰈离鹣背	die'li'jian'bei	喻夫妻或恋人分离。
丁公凿井	ding'gong'zao'jing	春秋时，宋人丁某家中无井，常派一人出外汲水，后来家中挖了井，不须外出挑水，节省一人力，于是对人说：“吾穿井得一人。”听者误传成从井中挖得一人。见《吕氏春秋·察传》。汉王充《论衡·书虚》：“俗传言曰，丁公凿井，得一人於井中。夫人生於人，非生於土也。”后用以喻语言之辗转传误。
丁一卯二	ding'yi'mao'er	①确实；实在。②谓认真；仔细。
丁一确二	ding'yi'que'er	明白；确实。
钉嘴铁舌	ding'zui'tie'she	形容嘴哽，嘴犟。
顶礼膜拜	ding'li'mo'bai	①谓虔诚地跪拜。是佛教徒拜佛时的最敬礼。②形容崇拜得五体投地。
顶门立户	ding'men'li'hu	支撑门户。谓独立成家。
顶门壮户	ding'men'zhuang'hu	谓支撑门户，光耀门第。
顶名冒姓	ding'ming'mao'xing	谓冒充他人。
顶名替身	ding'ming'ti'shen	又作：顶名冒姓。
顶天立地	ding'tian'li'di	①头顶青天，脚踏大地。谓生存于天地间。②形容身躯魁伟。③形容堂堂正正，志向远大，气概不凡。
顶天踵地	ding'tian'zhong'di	又作：顶天立地。
顶踵尽捐	ding'zhong'jin'juan	又作：顶踵捐糜。
顶踵捐糜	ding'zhong'juan'mi	谓捐躯，牺牲。
鼎铛玉石	ding'dang'yu'shi	谓视鼎如铛，视玉如石。形容奢侈。
鼎成龙去	ding'cheng'long'qu	《史记·封禅书》：“黄帝采首山铜，铸鼎於荆山下。鼎既成，有龙垂胡曈下迎黄帝。黄帝上骑，群臣后宫从上者七十馀人，龙乃上去。”后以“鼎成龙去”指帝王去世。
鼎成龙升	ding'cheng'long'sheng	见“鼎成龙去”。
鼎鼎大名	ding'ding'da'ming	形容名声极大。
鼎鼎有名	ding'ding'you'ming	见“鼎鼎大名”。
鼎分三足	ding'fen'san'zu	见“鼎足三分”。
鼎湖龙去	ding'hu'long'qu	同“鼎成龙去”。
鼎镬刀锯	ding'huo'dao'ju	古代四种酷刑的刑具。泛指最残酷的刑罚。
鼎鼐调和	ding'nai'diao'he	相传商武丁问傅说治国之方，傅以如何调和鼎中之味喻说，遂辅武丁以治国。后因以“鼎鼐调和”比喻处理国政。
鼎食鸣钟	ding'shi'ming'zhong	亦作“鼎食鸣锺”。击钟列鼎而食。形容富贵人家生活豪侈。
鼎食鸣锺	ding'shi'ming'zhong	见“鼎食鸣钟”。
鼎新革故	ding'xin'ge'gu	《易·杂卦》：“革，去故也；鼎，取新也。”旧时多以“鼎新革故”指朝政变革或改朝换代。后泛指事物的破旧立新。
鼎鱼幕燕	ding'yu'mu'yan	《文选·丘迟〈与陈伯之书〉》：“而将军鱼游於沸鼎之中，燕巢於飞幕之上，不亦惑乎。”李善注：“袁崧《后汉书》：‘硃穆上疏曰：养鱼沸鼎之中，栖鸟烈火之上，用之不时，必也燋烂。’《左氏传》曰：‘吴季札曰：夫子之在此也，犹燕巢于幕之上。’”后以“鼎鱼幕燕”比喻处于极危险境地的人或事物。
鼎玉龟符	ding'yu'gui'fu	旧指传国之宝及受命之符箓。
鼎折覆餗	ding'zhe'fu'su	《易·鼎》：“九四，鼎折足，覆公餗，其形渥，凶。”孔颖达疏：“施之於人，知小而谋大，力薄而任重，如此必受其至辱，灾及其身也，故曰其形渥，凶。”后以“鼎折覆餗”比喻力薄任重，必致灾祸。
鼎折餗覆	ding'zhe'su'fu	见“鼎折覆餗”。
鼎足而立	ding'zu'er'li	像鼎的三只脚一样，三者各立一方。常比喻三方面分立相持的局面。
鼎足而三	ding'zu'er'san	谓像鼎足一样，三方面并立。
鼎足三分	ding'zu'san'fen	如鼎之三足，各据一方。比喻三方面分立相持的局势。
鼎足之势	ding'zu'zhi'shi	比喻三方面分立相持的局势。
丢魂丢魄	diu'hun'diu'po	见“丢魂失魄”。
丢魂丧胆	diu'hun'sang'dan	形容非常惊慌。
丢魂失魄	diu'hun'shi'po	①形容非常惊慌。②谓没头脑，无主见。
丢盔抛甲	diu'kui'pao'jia	见“丢盔卸甲”。
丢盔弃甲	diu'kui'qi'jia	见“丢盔卸甲”。
丢盔卸甲	diu'kui'xie'jia	形容打了大败仗时的狼狈相。亦比喻事情的失败。
丢人现眼	diu'ren'xian'yan	丢脸；出丑。
丢三拉四	diu'san'la'si	见“丢三落四”。
丢三落四	diu'san'luo'si	形容马虎或记忆力不好而顾此失彼。
丢三忘四	diu'san'wang'si	见“丢三落四”。
丢卒保车	diu'zu'bao'che	原为棋术用语。后多用以比喻丢掉次要的，保住主要的。
东挨西撞	dong'ai'xi'zhuang	同“东奔西撞”。
东捱西问	dong'ai'xi'wen	谓四处探问、打听。
东奔西窜	dong'ben'xi'cuan	同“东逃西窜”。
东奔西跑	dong'ben'xi'pao	同“东奔西走”。
东奔西逃	dong'ben'xi'tao	同“东逃西窜”。
东奔西向	dong'ben'xi'xiang	谓各奔东西，互不相关。
东奔西撞	dong'ben'xi'zhuang	形容无固定目标，到处乱闯。
东奔西走	dong'ben'xi'zou	谓到处奔波。
东播西流	dong'bo'xi'liu	谓流落四方。
东补西凑	dong'bu'xi'cou	同“东挪西凑”。
东猜西揣	dong'cai'xi'chuai	谓多方猜测。
东猜西疑	dong'cai'xi'yi	谓胡乱猜疑。
东藏西躲	dong'cang'xi'duo	见“东躲西藏”。
东差西误	dong'cha'xi'wu	谓出现这样或那样的差池、错误。形容办事不得力。
东抄西袭	dong'chao'xi'xi	胡乱抄袭别人的文章。
东扯西拉	dong'che'xi'la	形容说话离题，没有中心。
东扯西拽	dong'che'xi'zhuai	①谓事情互相纠缠。②又作：拆东补西。
东闯西踱	dong'chuang'xi'duo	谓盲目地四处闯荡。
东驰西骋	dong'chi'xi'cheng	同“东奔西走”。
东驰西击	dong'chi'xi'ji	谓指挥不统一，几路军队各自行动。
东驰西撞	dong'chi'xi'zhuang	同“东奔西撞”。
东冲西决	dong'chong'xi'jue	形容洪水四处冲决泛滥。
东冲西突	dong'chong'xi'tu	谓四处冲锋突击。
东冲西撞	dong'chong'xi'zhuang	谓无把握地四处奔走寻找。
东穿西撞	dong'chuan'xi'zhuang	同“东奔西撞”。
东窗计	dong'chuang'ji	谋害忠良的阴谋诡计。
东窗事发	dong'chuang'shi'fa	据明田汝成《西湖游览志馀·佞倖盘荒》载，宋元间传说，秦桧欲杀岳飞时，曾与妻子王氏在东窗下密谋。后桧游西湖，舟中得疾，见一人披发厉声曰：“汝误国害民，吾已诉天，得请矣。”桧死后，在地狱备受诸苦。王氏给他做道场，并派道士去探望他，他对道士说：“可烦传语夫人，东窗事发矣。”后因以“东窗事发”或“东窗事犯”概指此事。亦用以喻阴谋败露，自食恶果。
东窗事犯	dong'chuang'shi'fan	见“东窗事发”。
东窗消息	dong'chuang'xiao'xi	见“东窗计”。
东床佳婿	dong'chuang'jia'xu	同“东床娇婿”。
东床姣婿	dong'chuang'jiao'xu	同“东床娇婿”。
东床娇客	dong'chuang'jiao'ke	同“东床娇婿”。
东床娇婿	dong'chuang'jiao'xu	对女婿的美称。
东床坦腹	dong'chuang'tan'fu	南朝宋刘义庆《世说新语·雅量》：“郄太傅在京口，遣门生与王丞相书，求女壻。丞相语郄信：‘君往东厢，任意选之。’门生归白郄曰：‘王家诸郎亦皆可嘉。闻来觅壻，咸自矜持；唯有一郎在东床上坦腹卧，如不闻。’郄公云：‘正此好！’访之，乃是逸少，因嫁女与焉。”按，《晋书·王羲之传》述此事，作“惟一人在东床坦腹食”。后因以“东床坦腹”代指女婿。
东床择对	dong'chuang'ze'dui	谓择婿。
东床之选	dong'chuang'zhi'xuan	谓佳婿的人选。
东荡西驰	dong'dang'xi'chi	又作：东征西讨。
东荡西除	dong'dang'xi'chu	又作：东征西讨。
东倒西歪	dong'dao'xi'wai	①形容身不由己，倾斜不稳。②有的倒，有的歪。形容建筑物等破旧不牢固。
东道主	dong'dao'zhu	秋时，晋秦合兵围郑，郑文公使烛之武说秦穆公，曰：“若舍郑以为东道主，行李之往来，共其乏困，君亦无所害。”事见《左传·僖公三十年》。郑在秦东，接待秦国出使东方的使节，故称“东道主”。后因以泛指接待或宴客的主人。
东道主人	dong'dao'zhu'ren	见“东道主”。
东躲西藏	dong'duo'xi'cang	谓到处躲避藏匿。
东方不亮西方亮	dong'fang'bu'liang'xi'fang'liang	亮】	比喻这里行不通，别的地方尚有回旋余地。
东方千骑	dong'fang'qian'qi	①《玉台新咏·古乐府〈日出东南隅行〉》：“东方千馀骑，夫壻居上头。”本为诗中女主人公罗敷夸其夫婿显贵出众之词，后因以“东方千骑”、“东方骑”指代新婿。②泛指身分煊赫者。
东风吹马耳	dong'feng'chui'ma'er		见“东风射马耳”。
东风过耳	dong'feng'guo'er	见“东风射马耳”。
东风人面	dong'feng'ren'mian	谓一年一度的春风依旧，而当年邂逅含情之人却不得重见。有唐崔护《题都城南庄》诗典。
东风入律	dong'feng'ru'lv	谓春风和暢，律吕调协。常用以称颂盛世。
东风射马耳	dong'feng'she'ma'er		东风吹过马耳边。比喻充耳不闻，无动于衷。
东扶西倒	dong'fu'xi'dao	形容力不能支，扶不起来。
东滚西爬	dong'gun'xi'pa	形容溃逃时的狼狈相。
东郭先生	dong'guo'xian'sheng	小说《中山狼传》中的人物。其因救助被人追逐的中山狼，反而几乎被狼所害。后常用以比喻不分善恶，滥施仁慈的人。参阅明马中锡《中山狼传》。
东海鲸波	dong'hai'jing'bo	东海上的汹涌波涛。比喻来自东方的侵略。
东海捞针	dong'hai'lao'zhen	又作：大海捞针。形容极难达到目的。
东海逝波	dong'hai'shi'bo	东逝大海的波涛。比喻大势已去，无法挽回。
东海扬尘	dong'hai'yang'chen	晋葛洪《神仙传·麻姑》：“麻姑自说云：‘接侍以来，已见东海三为桑田。向到蓬莱，水又浅於往者会时略半也，岂将复还为陵陆乎？’方平笑曰：‘圣人皆言海中复扬尘也。’”后因以“东海扬尘”喻世事巨变。
东横西倒	dong'heng'xi'dao	形容杂乱。
东家西舍	dong'jia'xi'she	又作：左邻右舍。
东家效颦	dong'jia'xiao'pin	见“东施效颦”。
东箭南金	dong'jian'nan'jin	比喻优秀的人才。
东砍西斫	dong'kan'xi'zhuo	谓四面激战。
东磕西撞	dong'ke'xi'zhuang	又作：东奔西撞。
东诓西骗	dong'kuang'xi'pian	指到处说谎欺骗。
东拉西扯	dong'la'xi'che	①东凑一言，西凑一语。形容说话或写文章杂乱无章。②谓从各处拾取得来。
东来西去	dong'lai'xi'qu	谓行人来来往往。
东拦西阻	dong'lan'xi'zu	谓极力阻拦。
东捞西摸	dong'lao'xi'mo	谓盲目地四处求索。
东劳西燕	dong'lao'xi'yan	喻离别。劳，伯劳。鸟名。语本《乐府诗集·杂曲歌辞八·东飞伯劳歌》：“东飞伯劳西飞燕，黄姑织女时相见。”后亦以“东劳西燕”比喻来自不同方向的同路人。
东猎西渔	dong'lie'xi'yu	谓处处涉猎而不专精。
东邻西舍	dong'lin'xi'she	见“东家西舍”。
东鳞西爪	dong'lin'xi'zhao	谓画龙时，这边画片龙鳞，那边画只龙爪，只见一点，不见全身。比喻零碎，不全面。
东零西落	dong'ling'xi'luo	零散稀疏。形容衰败。
东零西散	dong'ling'xi'san	形容零落分散。
东零西碎	dong'ling'xi'sui	谓零碎，分散，不集中。
东流西落	dong'liu'xi'luo	见“东播西流”。
东门黄犬	dong'men'huang'quan	秦二世二年七月，丞相李斯因遭奸人诬陷，论腰斩咸阳市。临刑谓其中子曰：“吾欲与若复牵黄犬俱出上蔡东门逐狡兔，岂可得乎！”事见《史记·李斯列传》。后以“东门黄犬”作为官遭祸，抽身悔迟之典。
东门逐兔	dong'men'zhu'tu	见“东门黄犬”。
东鸣西应	dong'ming'xi'ying	谓各方面互有联系，互相影响。
东抹西涂	dong'mo'xi'tu	见“东涂西抹”。
东南之宝	dong'nan'zhi'bao	谓东南地区的杰出人才。
东南之美	dong'nan'zhi'mei	谓东南人物中之佼佼者。
东南之秀	dong'nan'zhi'xiu	谓东南地方的杰出人才。
东南竹箭	dong'nan'zhu'jian	《尔雅·释地》：“东南之美者，有会稽之竹箭焉。”后因以“东南竹箭”比喻优秀人才。
东挪西凑	dong'nuo'xi'cou	谓各处挪借，凑集款项。
东挪西撮	dong'nuo'xi'cuo	同“东挪西凑”。
东挪西借	dong'nuo'xi'jie	同“东挪西凑”。
东跑西颠	dong'pao'xi'dian	同“东奔西走”。
东碰西撞	dong'peng'xi'zhuang	同“东奔西撞”。
东飘西泊	dong'piao'xi'bo	谓四处漂泊，行踪无定。
